date,doctor_id,shift_start,shift_end,support_staff_present,support_staff_rostered
2026-08-05,DOC_GEN_1,2026-08-05 09:00:00,2026-08-05 17:00:00,4,4
2026-08-05,DOC_GEN_2,2026-08-05 09:00:00,2026-08-05 17:00:00,2,3
2026-08-05,DOC_CAR_1,2026-08-05 09:00:00,2026-08-05 17:00:00,2,2
2026-08-05,DOC_CAR_2,2026-08-05 09:00:00,2026-08-05 17:00:00,4,4
2026-08-05,DOC_ORT_1,2026-08-05 09:00:00,2026-08-05 17:00:00,4,4
2026-08-05,DOC_ORT_2,2026-08-05 09:00:00,2026-08-05 17:00:00,4,4
2026-08-05,DOC_PED_1,2026-08-05 09:00:00,2026-08-05 17:00:00,2,2
2026-08-05,DOC_PED_2,2026-08-05 09:00:00,2026-08-05 17:00:00,4,4
2026-08-06,DOC_GEN_1,2026-08-06 09:00:00,2026-08-06 17:00:00,2,2
2026-08-06,DOC_GEN_2,2026-08-06 09:00:00,2026-08-06 17:00:00,3,3
2026-08-06,DOC_CAR_1,2026-08-06 09:00:00,2026-08-06 17:00:00,1,2
2026-08-06,DOC_CAR_2,2026-08-06 09:00:00,2026-08-06 17:00:00,4,4
2026-08-06,DOC_ORT_1,2026-08-06 09:00:00,2026-08-06 17:00:00,3,4
2026-08-06,DOC_ORT_2,2026-08-06 09:00:00,2026-08-06 17:00:00,4,4
2026-08-06,DOC_PED_1,2026-08-06 09:00:00,2026-08-06 17:00:00,3,3
2026-08-06,DOC_PED_2,2026-08-06 09:00:00,2026-08-06 17:00:00,4,4
2026-08-07,DOC_GEN_1,2026-08-07 09:00:00,2026-08-07 17:00:00,4,4
2026-08-07,DOC_GEN_2,2026-08-07 09:00:00,2026-08-07 17:00:00,2,2
2026-08-07,DOC_CAR_1,2026-08-07 09:00:00,2026-08-07 17:00:00,2,2
2026-08-07,DOC_CAR_2,2026-08-07 09:00:00,2026-08-07 17:00:00,3,4
2026-08-07,DOC_ORT_1,2026-08-07 09:00:00,2026-08-07 17:00:00,2,2
