snapshot_time,current_active_census,arrivals_15m,arrivals_30m,arrivals_60m,arrivals_120m,departures_15m,departures_30m,departures_60m,net_flow_60m,high_acuity_ratio,mean_time_in_system,hour_of_day,day_of_week,month,arrival_rate_trend,target_census_30m,target_census_60m,target_census_120m,congestion_tier_30m,congestion_tier_60m,congestion_tier_120m
2024-01-02 00:34:04,27,0,0,4,7,0,2,3,1,0.14814814814814814,277.9320987654321,0,1,1,0.0,24,22,22,moderate,low,low
2024-01-02 01:04:04,24,0,0,0,5,0,3,5,-5,0.125,287.6069444444445,1,1,1,1.0,22,23,22,low,moderate,low
2024-01-02 01:34:04,22,1,2,2,6,1,4,7,-5,0.13636363636363635,282.65984848484845,1,1,1,2.0,23,22,24,moderate,low,moderate
2024-01-02 02:04:04,23,1,1,3,3,0,0,4,-1,0.13043478260869565,299.70652173913044,2,1,1,0.6666666666666666,22,22,20,low,low,low
2024-01-02 02:34:04,22,1,1,2,4,1,2,2,0,0.18181818181818182,317.1628787878788,2,1,1,1.0,22,24,18,low,moderate,low
2024-01-02 03:04:04,22,2,3,4,7,1,3,5,-1,0.22727272727272727,300.25757575757575,3,1,1,1.5,24,20,15,moderate,low,low
2024-01-02 03:34:04,24,2,4,7,9,0,2,5,2,0.25,261.0875,3,1,1,1.1428571428571428,20,18,15,low,low,low
2024-01-02 04:04:04,20,0,0,4,8,1,4,6,-2,0.25,276.32,4,1,1,0.0,18,15,14,low,low,low
2024-01-02 04:34:04,18,1,1,1,8,2,3,7,-6,0.2777777777777778,283.13425925925924,4,1,1,2.0,15,15,15,low,low,low
2024-01-02 05:04:04,15,0,0,1,5,2,3,6,-5,0.26666666666666666,329.72666666666663,5,1,1,0.0,15,14,16,low,low,low
2024-01-02 05:34:04,15,0,2,2,3,2,2,5,-3,0.2,309.0444444444445,5,1,1,2.0,14,15,13,low,low,low
